Timestamp,Name of your startup,In which sector does your startup belongs to ?,What are the top challenges your startup is currently facing ?,How would you rate the the ease of accessing government schemes and support ?,Have government schemes helped in improving your startup's access to funding or resources ?,On a scale  of 1 to 5 how would you rate the overall startup ecosystem in Kerala ?,What would you suggest to improve Kerala's startup ecosystem ?,What role do you think government incubators and accelerators have played in your startup's journey ?,What are the key challenges your startup encounters while hiring and retaining skilled talent within Kerala ?,What are the key challenges you face in accessing investors within the Kerala ecosystem?," On a scale of 1-5, how would you rate the availability of skilled labor in Kerala for your startup's needs? ",What are the key advantage of starting a business in Kerala? ,How competitive do you find the startup landscape in Kerala ? ,What emerging trend or technology do you see influencing the startup ecosystem in Kerala over the next few years ? , In your opinion what is the likelihood (in percentage) that a startup will survive in Kerala’s current ecosystem ? ,Is there any specific sector in Kerala that you believe which receive more support or attention compared to other ? ,What is the percentage probability that a startup will receive external funding? 
01/30/2025 08:53:12,BLOOMBLOOM DREAMBIZ PRIVATE LIMITED,Edtech,Regulatory hurdles,3.0,Partially,3.0,More access to funding,Access to networks and partnerships,,"Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors",3.0,Government support & startup ecosystem,Collaborative more than competetive,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,Edtech,20-30%
11/17/2024 20:49:10,Careayu,HealthTech,Access to funding,4.0,Yes,4.0,More access to funding,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,4.0,Skilled workforce,Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",10-20%,IT/ITes,upto 10%
10/28/2024 18:05:19,steyin innovations pvt ltd,Fintech,"Hiring talent, Market competition",3.0,Partially,3.0,"More access to funding, Better infrastructure","Crucial support for early stages, Boosting credibility and visibility",Skill gap and talent shortage,Lack of Investor Networks,3.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",40-50%,IT/ITes,30-40%
01/14/2025 22:43:16,tinos software and security solutions llp,Edtech,"Hiring talent, Market competition",3.0,Partially,3.0,Better infrastructure,Crucial support for early stages,Skill gap and talent shortage,"Lack of Investor Networks, Investors hesitant to invest in early-stage startups",3.0,Quality of life,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",40-50%,IT/ITes,30-40%
12/10/2024 15:31:50,santhi wellness pvt ltd,HealthTech,"Market competition, Regulatory hurdles",3.0,Yes,3.0,"More access to funding, Better infrastructure",Crucial support for early stages,,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,30-40%,IT/ITes,20-30%
11/18/2024 04:58:12,sketch app solutions llp,Artificial Intelligence,"Access to funding, Market competition",3.0,No,3.0,More access to funding,Boosting credibility and visibility,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,30-40%
10/29/2024 01:17:38,M2H Infotech LLP,IT/ITeS,Access to funding,1.0,No,1.0,"Policy reforms, More access to funding, Better infrastructure, Improved networking oppurtunities",,"Skill gap and talent shortage, Retention and competition, Limited industry exposure","Lack of Investor Networks, Complex procedures or regulations that make it harder to pitch to investors, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,Quality of life,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Blockchain and fintech",30-40%,IOT,10-20%
09/18/2024 20:07:07,Bourgeon Innovations,IOT,Hiring talent,2.0,No,4.0,Improved networking oppurtunities,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,10-20%,Edtech,upto 10%
01/16/2025 19:25:06,Celebrate LEarning Private Limited,Edtech,Market competition,2.0,No,3.0,More access to funding,Crucial support for early stages,"Limited industry exposure, Work culture and migration",Lack of Investor Networks,4.0,Skilled workforce,Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",upto 10%,IT/ITes,upto 10%
01/19/2025 01:12:31,Eduslive private limited,Edtech,"Access to funding, Infrastructure issues",3.0,No,4.0,"Policy reforms, More access to funding",Crucial support for early stages,"Skill gap and talent shortage, Limited industry exposure","Lack of Investor Networks, Complex procedures or regulations that make it harder to pitch to investors",3.0,"Skilled workforce, Social infrastructure & connectivity",Highly competitive in certain sectors,Blockchain and fintech,upto 10%,IT/ITes,10-20%
09/14/2024 22:52:56,BETTERONICS ALPHA PRIVATE LIMITED ,Others,Market competition,3.0,No,2.0,"More access to funding, Improved networking oppurtunities",Boosting credibility and visibility,"Skill gap and talent shortage, Limited industry exposure","Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",2.0,Others,Collaborative more than competetive,Sustainable and green technologies,20-30%,Adtech,20-30%
11/18/2024 21:35:31,Samagra Healthcare Systems,HealthTech,"Access to funding, Market competition, Regulatory hurdles",3.0,No,4.0,"Policy reforms, More access to funding, Better infrastructure",,"Retention and competition, Limited industry exposure, Work culture and migration","Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",4.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,"Artificial intelligence and machine learning, Health tech and telemedicine",10-20%,IT/ITes,upto 10%
11/23/2024 06:30:18,FARM365 INNOVATIONS PRIVATE LIMITED,Artificial Intelligence,"Access to funding, Market competition",2.0,No,3.0,Policy reforms,Crucial support for early stages,"Retention and competition, Work culture and migration",Lack of Investor Networks,5.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,IT/ITes,upto 10%
10/13/2024 15:48:49,Emisoft Solutions ,IOT,Infrastructure issues,2.0,No,3.0,"Better infrastructure, Improved networking oppurtunities","Crucial support for early stages, Boosting credibility and visibility","Retention and competition, Limited industry exposure","Investors hesitant to invest in early-stage startups, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",4.0,Skilled workforce,Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",10-20%,IT/ITes,10-20%
10/05/2024 18:48:43,EBZOL ONLINE NARKETING LLP,IT/ITeS,"Market competition, Infrastructure issues",2.0,No,3.0,"More access to funding, Improved networking oppurtunities",Limited impact or bureaucratic delays,Work culture and migration,Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,3.0,Social infrastructure & connectivity,Less competetive compared to larger hubs,Health tech and telemedicine,40-50%,Edtech,20-30%
10/01/2024 09:19:01,Finstron global ,Fintech,"Access to funding, Market competition",3.0,No,4.0,"Policy reforms, More access to funding","Crucial support for early stages, Boosting credibility and visibility","Skill gap and talent shortage, Retention and competition, Limited industry exposure","Lack of Investor Networks, Investors hesitant to invest in early-stage startups",3.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,"Artificial intelligence and machine learning, Blockchain and fintech",10-20%,Fintech,10-20%
10/27/2024 07:06:14,Tyler Payment Technologies,Fintech,Infrastructure issues,4.0,Yes,4.0,Better infrastructure,Crucial support for early stages,Limited industry exposure,Investors hesitant to invest in early-stage startups,3.0,"Quality of life, Government support & startup ecosystem",Less competetive compared to larger hubs,Artificial intelligence and machine learning,10-20%,IT/ITes,20-30%
09/22/2024 08:54:30,EyeROV Technologies,IT/ITeS,"Access to funding, Hiring talent",,No,4.0,Improved networking oppurtunities,,Limited industry exposure,"Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,"Skilled workforce, Social infrastructure & connectivity",Collaborative more than competetive,"Artificial intelligence and machine learning, Blockchain and fintech",above 50%,,20-30%
01/29/2025 02:23:34,socialhoox technologies private limited,Others,"Hiring talent, Market competition",3.0,Partially,3.0,"More access to funding, Better infrastructure",Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",40-50%,IT/ITes,30-40%
10/17/2024 07:40:25,Infoniz technologies pvt ltd,HealthTech,"Hiring talent, Infrastructure issues",3.0,Partially,3.0,Better infrastructure,Boosting credibility and visibility,Retention and competition,Lack of Investor Networks,3.0,"Quality of life, Government support & startup ecosystem",Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,20-30%
11/30/2024 20:25:42,Spoton Business Solutions,Fintech,"Access to funding, Regulatory hurdles",4.0,No,3.0,"Policy reforms, More access to funding","Crucial support for early stages, Boosting credibility and visibility, Access to networks and partnerships","Retention and competition, Work culture and migration","Lack of Investor Networks, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",4.0,"Skilled workforce, Social infrastructure & connectivity",Moderately competitive but growing,Artificial intelligence and machine learning,10-20%,IT/ITes,10-20%
11/07/2024 12:30:14,Fundfolio Ventures Pvt Ltd,Fintech,Regulatory hurdles,3.0,Partially,3.0,"More access to funding, Improved networking oppurtunities",Access to networks and partnerships,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,3.0,Government support & startup ecosystem,Moderately competitive but growing,Artificial intelligence and machine learning,40-50%,IOT,20-30%
10/03/2024 13:59:42,KRANIUM ,Artificial Intelligence,Regulatory hurdles,3.0,Partially,3.0,Improved networking oppurtunities,Access to networks and partnerships,Limited industry exposure,"Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,Government support & startup ecosystem,,"Artificial intelligence and machine learning, Blockchain and fintech",10-20%,Fintech,10-20%
11/29/2024 03:20:21,Lipsmac foods llp,Others,Market competition,3.0,Partially,3.0,"Policy reforms, More access to funding",Boosting credibility and visibility,Limited industry exposure,Investors hesitant to invest in early-stage startups,3.0,Quality of life,Less competetive compared to larger hubs,Sustainable and green technologies,30-40%,IT/ITes,20-30%
11/24/2024 23:01:07,Hearth Kitchen Pvt Ltd,Others,"Access to funding, Market competition",1.0,No,4.0,"Policy reforms, More access to funding",Access to networks and partnerships,"Retention and competition, Limited industry exposure","Complex procedures or regulations that make it harder to pitch to investors, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,Fintech,10-20%
11/15/2024 03:32:37,orca,Fintech,"Access to funding, Regulatory hurdles, Infrastructure issues",1.0,No,3.0,"Policy reforms, More access to funding, Better infrastructure, Improved networking oppurtunities",Boosting credibility and visibility,Limited industry exposure,"Lack of Investor Networks, Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors",2.0,"Quality of life, Government support & startup ecosystem",Moderately competitive but growing,Blockchain and fintech,20-30%,Fintech,10-20%
10/10/2024 14:59:20,ManMech smart solution pvt ltd ,Others,"Hiring talent, Market competition",2.0,No,2.0,"More access to funding, Improved networking oppurtunities","Boosting credibility and visibility, Limited impact or bureaucratic delays","Retention and competition, Work culture and migration","Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",1.0,Social infrastructure & connectivity,Moderately competitive but growing,Blockchain and fintech,20-30%,Edtech,10-20%
09/15/2024 07:29:27,Convocomm Softwares,IT/ITeS,Market competition,4.0,Partially,4.0,More access to funding,Crucial support for early stages,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,3.0,"Government support & startup ecosystem, Social infrastructure & connectivity",Highly competitive in certain sectors,"Artificial intelligence and machine learning, Blockchain and fintech",40-50%,IOT,30-40%
11/02/2024 16:40:31,Ez genie solutions pvt ltd,Edtech,Market competition,3.0,Partially,3.0,More access to funding,Crucial support for early stages,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,2.0,Skilled workforce,Moderately competitive but growing,Artificial intelligence and machine learning,20-30%,IT/ITes,20-30%
12/03/2024 03:55:11,Veguar Technologies,Edtech,Market competition,4.0,Yes,4.0,Improved networking oppurtunities,Access to networks and partnerships,Limited industry exposure,"Lack of Investor Networks, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,"Government support & startup ecosystem, Social infrastructure & connectivity",Less competetive compared to larger hubs,Artificial intelligence and machine learning,20-30%,IT/ITes,10-20%
09/08/2024 02:59:25,LALALA DIGITAL EDUTECH PRIVATE LIMITED,Edtech,"Access to funding, Market competition",2.0,Partially,2.0,"Policy reforms, Better infrastructure","Crucial support for early stages, Boosting credibility and visibility","Limited industry exposure, Work culture and migration",Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,2.0,"Government support & startup ecosystem, Social infrastructure & connectivity",Less competetive compared to larger hubs,"Sustainable and green technologies, Health tech and telemedicine",20-30%,Edtech,10-20%
12/28/2024 13:00:09,Sanco India Edu Solutions Pvt Ltd,Edtech,Regulatory hurdles,3.0,Partially,3.0,Policy reforms,Boosting credibility and visibility,Skill gap and talent shortage,Lack of Investor Networks,3.0,Government support & startup ecosystem,Highly competitive in certain sectors,Artificial intelligence and machine learning,40-50%,IOT,30-40%
12/21/2024 12:50:03,Mudita Technologies,HealthTech,"Access to funding, Regulatory hurdles, Infrastructure issues",2.0,No,3.0,"Policy reforms, More access to funding","Crucial support for early stages, Access to networks and partnerships","Retention and competition, Limited industry exposure, Work culture and migration","Lack of Investor Networks, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors",5.0,"Skilled workforce, Quality of life",Moderately competitive but growing,Artificial intelligence and machine learning,upto 10%,IT/ITes,upto 10%
10/16/2024 01:49:02,Hussain Procurement And Trading Llp,Edtech,Access to funding,3.0,Partially,4.0,Better infrastructure,Access to networks and partnerships,"Skill gap and talent shortage, Limited industry exposure","Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,upto 10%,Fintech,upto 10%
10/10/2024 11:33:23,syncrayons technologies pvt ltd,Edtech,"Hiring talent, Market competition",3.0,Partially,3.0,"Policy reforms, More access to funding",Boosting credibility and visibility,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,3.0,Quality of life,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,30-40%
01/02/2025 23:08:32,Drakon Innovations ,IOT,Access to funding,2.0,No,3.0,More access to funding,"Crucial support for early stages, Access to networks and partnerships","Skill gap and talent shortage, Limited industry exposure","Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",4.0,Skilled workforce,Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,IT/ITes,10-20%
12/08/2024 03:49:14,Innspark solutions pvt ltd ,Artificial Intelligence,"Access to funding, Hiring talent",3.0,Partially,4.0,"More access to funding, Better infrastructure",Crucial support for early stages,"Skill gap and talent shortage, Work culture and migration",Lack of Investor Networks,3.0,"Quality of life, Government support & startup ecosystem",Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",20-30%,IT/ITes,20-30%
12/27/2024 11:17:53,Defi Tech Pvt Ltd,IT/ITeS,Hiring talent,4.0,Partially,4.0,Improved networking oppurtunities,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Social infrastructure & connectivity,Highly competitive in certain sectors,Artificial intelligence and machine learning,40-50%,IOT,20-30%
11/11/2024 21:16:15,sattdiet durables pvt ltd,Others,Infrastructure issues,3.0,Partially,4.0,"Policy reforms, More access to funding",Crucial support for early stages,Limited industry exposure,Lack of Investor Networks,3.0,Quality of life,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",20-30%,IT/ITes,
10/08/2024 02:50:39,GLAD HYDROGEN CLINOC PRIVATE LIMITED,HealthTech,"Hiring talent, Market competition",2.0,No,2.0,Better infrastructure,Limited impact or bureaucratic delays,Limited industry exposure,Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,2.0,Government support & startup ecosystem,Collaborative more than competetive,Sustainable and green technologies,30-40%,Health Tech,10-20%
01/20/2025 00:54:49,VST IOT SOLUTIONS,IT/ITeS,"Access to funding, Hiring talent, Market competition",2.0,No,3.0,"Policy reforms, Better infrastructure",Crucial support for early stages,Skill gap and talent shortage,"Lack of Investor Networks, Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",5.0,"Quality of life, Social infrastructure & connectivity",Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,IT/ITes,10-20%
12/21/2024 04:28:21,Healician ,HealthTech,Access to funding,3.0,No,4.0,Better infrastructure,"Crucial support for early stages, Access to networks and partnerships","Limited industry exposure, Work culture and migration","Lack of Investor Networks, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",4.0,Skilled workforce,Moderately competitive but growing,Blockchain and fintech,upto 10%,IT/ITes,upto 10%
10/02/2024 19:47:11,Aiera solutions Private Limited,IOT,Access to funding,3.0,No,3.0,Policy reforms,"Boosting credibility and visibility, Access to networks and partnerships",Skill gap and talent shortage,Lack of Investor Networks,3.0,Social infrastructure & connectivity,Collaborative more than competetive,Artificial intelligence and machine learning,10-20%,IT/ITes,upto 10%
12/01/2024 01:53:49,XANDY LEARNING PRIVATE LIMITED ,Edtech,"Access to funding, Hiring talent, Regulatory hurdles",2.0,No,4.0,"Better infrastructure, Others","Access to networks and partnerships, Limited impact or bureaucratic delays",Limited industry exposure,"Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors",2.0,"Government support & startup ecosystem, Social infrastructure & connectivity",Collaborative more than competetive,Sustainable and green technologies,20-30%,Adtech,10-20%
10/25/2024 21:03:02,ORBISLIVES HEALTHCARE,HealthTech,"Access to funding, Hiring talent, Regulatory hurdles",3.0,No,2.0,"Policy reforms, Improved networking oppurtunities","Crucial support for early stages, Access to networks and partnerships","Retention and competition, Work culture and migration","Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors",5.0,Quality of life,Highly competitive in certain sectors,Health tech and telemedicine,,IT/ITes,upto 10%
11/13/2024 23:51:19,Jincy jose associates corporate solutions pvt ltd,Fintech,"Hiring talent, Market competition",3.0,Partially,3.0,"Policy reforms, More access to funding, Better infrastructure",Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,"Quality of life, Government support & startup ecosystem",Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",20-30%,IT/ITes,10-20%
11/06/2024 00:35:12,ten point media,Others,"Hiring talent, Market competition",3.0,No,3.0,"More access to funding, Better infrastructure",Boosting credibility and visibility,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,3.0,Quality of life,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,20-30%
11/23/2024 20:36:47,Drpolaris,Edtech,Market competition,2.0,Partially,3.0,"More access to funding, Better infrastructure",Crucial support for early stages,Retention and competition,Investors hesitant to invest in early-stage startups,3.0,Government support & startup ecosystem,Moderately competitive but growing,Artificial intelligence and machine learning,10-20%,IT/ITes,upto 10%
01/12/2025 03:31:01,Doodo Global Initiative,IOT,Access to funding,3.0,Yes,4.0,More access to funding,"Crucial support for early stages, Access to networks and partnerships","Retention and competition, Work culture and migration",Investors hesitant to invest in early-stage startups,4.0,Skilled workforce,Moderately competitive but growing,Artificial intelligence and machine learning,10-20%,Edtech,upto 10%
10/10/2024 19:53:51,Evoura Technologies ,Artificial Intelligence,Access to funding,3.0,Yes,4.0,Improved networking oppurtunities,"Crucial support for early stages, Access to networks and partnerships",Skill gap and talent shortage,"Lack of Investor Networks, Investors hesitant to invest in early-stage startups",3.0,Social infrastructure & connectivity,Less competetive compared to larger hubs,Blockchain and fintech,upto 10%,IOT,upto 10%
11/16/2024 16:31:09,Fouji Learning Solutions,Edtech,"Access to funding, Hiring talent",3.0,No,3.0,Policy reforms,Crucial support for early stages,Skill gap and talent shortage,"Lack of Investor Networks, Investors hesitant to invest in early-stage startups",3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,10-20%,IT/ITes,upto 10%
12/09/2024 13:11:36,Calpartec Solutions Pvt Ltd,Edtech,Access to funding,2.0,No,3.0,"Better infrastructure, Improved networking oppurtunities",Crucial support for early stages,Skill gap and talent shortage,"Lack of Investor Networks, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,"Quality of life, Social infrastructure & connectivity",Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",10-20%,IOT,upto 10%
11/09/2024 06:30:35,WAGER INTERNATIONAL PRIVATE LIMITED,HealthTech,Access to funding,3.0,,3.0,Policy reforms,Crucial support for early stages,Retention and competition,"Lack of Investor Networks, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",2.0,Quality of life,Less competetive compared to larger hubs,Artificial intelligence and machine learning,,IT/ITes,10-20%
09/08/2024 19:18:41,Trioteq Innovations,Artificial Intelligence,Hiring talent,4.0,Partially,3.0,Better infrastructure,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,2.0,Quality of life,Less competetive compared to larger hubs,Blockchain and fintech,upto 10%,IOT,upto 10%
01/12/2025 04:38:50,jns academy,Edtech,Access to funding,2.0,No,3.0,More access to funding,Crucial support for early stages,Limited industry exposure,Lack of Investor Networks,4.0,Skilled workforce,Moderately competitive but growing,Artificial intelligence and machine learning,upto 10%,IT/ITes,upto 10%
01/18/2025 19:16:41,Nexba healthcare marketing & services pvt ltd,HealthTech,"Access to funding, Market competition",3.0,Partially,3.0,"More access to funding, Better infrastructure",Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",20-30%,IT/ITes,10-20%
12/16/2024 17:27:54,Eduport Academic Research Center,Edtech,Hiring talent,2.0,No,2.0,"Policy reforms, More access to funding, Better infrastructure","Crucial support for early stages, Boosting credibility and visibility, Access to networks and partnerships","Skill gap and talent shortage, Retention and competition","Lack of Investor Networks, Investors hesitant to invest in early-stage startups, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,"Quality of life, Government support & startup ecosystem",Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies, Health tech and telemedicine",10-20%,IT/ITes,10-20%
